"","rec_ma+lexibank_ArmAndHand+WALS_129A","o_lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInManAndWoman","o_lexibank_ElbowAndKnee","o_lexibank_EyeInTear","o_lexibank_BarkAndSkin","rec_c_lexibank_FatherWithP","rec_ma+lexibank_FingerAndHand+WALS_130A","rec_mca+lexibank_FirstPersonWithM+lexibank_FirstPersonWithN+WALS_136B","rec_ma+lexibank_GreenAndBlue+WALS_134A","o_lexibank_HairAndFeather","o_lexibank_HearAndSmell","o_lexibank_FingerAndToe","o_lexibank_LegAndFoot","rec_c_lexibank_MotherWithM","o_lexibank_MouthInLip","rec_ma+lexibank_RedAndYellow+WALS_135A","rec_mca+lexibank_SecondPersonWithM+lexibank_SecondPersonWithN+lexibank_SecondPersonWithT+WALS_137B","o_lexibank_SeeAndKnow","o_lexibank_SkinInLip","o_lexibank_ThreeInEight","o_lexibank_ThreeInThirteen","o_lexibank_ToeAndFoot","o_lexibank_WaterInTear","rec_c_lexibank_WindWithF","o_lexibank_TreeInBark"
"copa1236",NA,NA,"False",NA,NA,"False",NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,"False","FALSE","M","False","False","False",NA,"False",NA,"False","False"
"croa1245","TRUE","True","False","False","False","False","False","FALSE",NA,"FALSE","False","False","False","True","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"cube1242","FALSE",NA,"True","False",NA,"False","True","FALSE",NA,NA,"True","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"cuib1242","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"curr1243","FALSE",NA,"False","False",NA,"False","False","FALSE","N",NA,"False","False","False","False",NA,"True","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"True"
"daga1272",NA,"False","False",NA,NA,"False","False",NA,NA,NA,NA,NA,NA,NA,"False","False",NA,NA,"False","False","False","True",NA,NA,NA,"False"
"dakp1242",NA,NA,"False","False",NA,NA,"False","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,"FALSE",NA,"False",NA,"False",NA,NA,NA,"False",NA
"dana1254",NA,"False","False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA
"dani1285","FALSE","False","False","False","False","False",NA,"FALSE",NA,"FALSE","False","False","False","False",NA,"False","FALSE","T","False","False","False",NA,"False","False","True","False"
"darg1241","TRUE","False","False","False","False","False","False","FALSE","N","FALSE","False","False","False","True","False","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"darl1243","FALSE",NA,"False","False",NA,NA,"False","TRUE",NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"dass1243",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,"True",NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"dera1248",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,"True",NA,NA,"False","False",NA,NA,"False","False","False","True",NA,NA,"False","True"
"desa1247","FALSE",NA,"False",NA,NA,"False","True","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"dewo1238","FALSE","False","False","False",NA,NA,"True","FALSE",NA,NA,NA,NA,"False","False","True",NA,NA,NA,NA,NA,"False","False","False",NA,NA,NA
"dghw1239",NA,"True","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,"False","False"
"dhal1245",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,"False","False",NA,"False","False",NA,NA,"N","False",NA,NA,NA,NA,NA,NA,NA
"dhan1270",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"dhuw1249","FALSE",NA,"False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"dibi1240",NA,NA,NA,NA,NA,NA,"False",NA,"N",NA,NA,NA,NA,NA,"False",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"dido1241","FALSE","False","False","False","False",NA,"True","FALSE",NA,"FALSE","False","False","True","False","False","False","FALSE","M","False",NA,"False",NA,"False","False","False","False"
"dier1241","FALSE",NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"dima1251","FALSE","True","False","False",NA,"False","True","FALSE",NA,NA,"False","False","False","False","False","True","FALSE","N","False","False",NA,NA,"False",NA,NA,"False"
"dime1235",NA,"False","False",NA,NA,NA,NA,"FALSE",NA,"FALSE",NA,"False","False",NA,NA,NA,"FALSE",NA,"False",NA,"False",NA,"False",NA,"False",NA
"dimi1244",NA,"False","False","False","False",NA,"True",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"diri1252",NA,NA,NA,"False","False","False",NA,NA,NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False","False","True",NA,NA,"False","False","False"
"diri1259",NA,"False","False",NA,NA,"False","True",NA,NA,NA,NA,"True",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"djam1256",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,NA,"False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"djap1238","FALSE",NA,"False","False",NA,NA,"False","FALSE",NA,NA,NA,"False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"djin1251","FALSE","False","False",NA,NA,"False",NA,"TRUE",NA,NA,"False","False",NA,NA,NA,"False",NA,"N","False","False",NA,NA,NA,NA,NA,"False"
"djin1253",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"True","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"djiw1241",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"dong1286","FALSE","True","False","False","False","False","False","FALSE",NA,"FALSE","True","False","False","False","False",NA,"FALSE","N","False",NA,"False",NA,"False",NA,NA,NA
"dong1287",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","True",NA,"FALSE",NA,"False",NA,"False","True",NA,"True",NA,NA
"drun1238","FALSE",NA,"False",NA,"False","False",NA,"FALSE",NA,"FALSE","False",NA,NA,"False",NA,"True","FALSE","N","False","False","False","False",NA,"False",NA,"False"
"dump1243",NA,"False","False","True",NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA
"dutc1256","FALSE","False","False","False",NA,"False",NA,"FALSE",NA,NA,NA,NA,"False","False",NA,"False",NA,NA,NA,"False",NA,NA,"False",NA,"False","False"
"dyaa1242","FALSE",NA,"False","False",NA,NA,"False","TRUE",NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"dzao1238",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","False",NA,"FALSE","M","False",NA,"False","False",NA,"True",NA,NA
"east2326",NA,NA,"False","False",NA,"False","True","FALSE",NA,"FALSE","True","False",NA,"False","True",NA,"FALSE","M",NA,NA,"False",NA,NA,NA,NA,"False"
"east2328","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"east2363",NA,NA,NA,"False",NA,NA,NA,"FALSE",NA,"FALSE","True","False",NA,"False",NA,NA,"FALSE","M",NA,NA,"False",NA,NA,NA,NA,NA
"east2370",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","False",NA,"FALSE","M","False",NA,"False","True",NA,"True",NA,NA
"east2371",NA,NA,NA,NA,"False",NA,"False","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE","M","False",NA,"False","True",NA,"True",NA,NA
"east2426","FALSE","False","False","False",NA,NA,"True","FALSE",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,"False","True","False",NA,NA,NA
"east2555","FALSE",NA,NA,NA,NA,NA,"False","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA,"N",NA,NA,NA,NA,NA,NA,"False",NA
"egab1234",NA,NA,"True",NA,NA,"False",NA,"FALSE",NA,NA,NA,NA,NA,"False","True",NA,"FALSE","N",NA,NA,"False",NA,NA,NA,NA,"True"
"ekaa1234","FALSE","False","False","False","False","False","False","FALSE",NA,"FALSE","True","False","False","False","True","True","FALSE","N","False","False","False",NA,"False",NA,NA,"False"
"embe1260","FALSE",NA,"False","False",NA,"False","False","FALSE","M",NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"True"
"embe1261","FALSE",NA,"False","False",NA,"False","False","FALSE","M",NA,"False","False","False","False",NA,"False",NA,NA,"False","False",NA,NA,"False",NA,NA,"True"
"embe1262","FALSE",NA,"True","False",NA,"False","False","FALSE","M",NA,"False","False","True","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"True"
"enap1235",NA,"True","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","True","False","False",NA,NA,"False","TRUE",NA,"False","False","False",NA,"False",NA,NA,"False"
"ende1235","FALSE","False","False","False","False","False","False","FALSE",NA,"FALSE","True","False","False","False","False","True","FALSE",NA,"False","True","False",NA,"False","False",NA,"True"
"enqi1234",NA,NA,NA,NA,NA,"False",NA,"FALSE",NA,NA,NA,NA,NA,"False","True",NA,"FALSE","N",NA,NA,"False",NA,NA,NA,NA,"True"
"epen1239","FALSE",NA,"True","False",NA,"False","False","FALSE","M",NA,NA,"False",NA,NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"True"
"eree1240","FALSE","False","False",NA,"False","False","False","FALSE",NA,"TRUE","False","False",NA,"True","False","False","FALSE","N","False","False","False","False",NA,"False",NA,"False"
"eryu1239",NA,NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE","False",NA,NA,NA,"False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"erzy1239","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE",NA,"False","False","False",NA,"False","True",NA,"False"
"esha1238","FALSE","False","False","False","True",NA,"False","FALSE",NA,NA,"True",NA,NA,NA,"False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"fait1240",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"True",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"fali1285",NA,"False","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"True","True",NA,NA,"False","False","False","False",NA,NA,"False","False"
"farn1234","FALSE","True","False",NA,"True",NA,"False","FALSE",NA,"FALSE","True",NA,NA,"True","False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
