"code_ID","new.name","value"
"GB559drm-?","GB559drm","?"
"GB559drm-1","GB559drm","1"
"GB559drm-0","GB559drm","0"
"GB560drmc-?","GB560drmc","?"
"GB560drmc-1","GB560drmc","1"
"GB560drmc-NA","GB560drmc","NA"
"GB560drmc-0","GB560drmc","0"
"GB561drmc-1","GB561drmc","1"
"GB561drmc-?","GB561drmc","?"
"GB561drmc-0","GB561drmc","0"
"GB561drmc-NA","GB561drmc","NA"
"GB563m-1","GB563m","1"
"GB563m-?","GB563m","?"
"GB563m-0","GB563m","0"
"GB567drm-0","GB567drm","0"
"GB567drm-1","GB567drm","1"
"GB567drm-?","GB567drm","?"
"GB568drm-1","GB568drm","1"
"GB568drm-?","GB568drm","?"
"GB568drm-0","GB568drm","0"
"GB569drmc-?","GB569drmc","?"
"GB569drmc-1","GB569drmc","1"
"GB569drmc-0","GB569drmc","0"
"GB569drmc-NA","GB569drmc","NA"
"GB590m-0","GB590m","0"
"GB590m-?","GB590m","?"
"GB590m-1","GB590m","1"
"GB591m-1","GB591m","1"
"GB591m-?","GB591m","?"
"GB591m-0","GB591m","0"
"GB595m-?","GB595m","?"
"GB595m-0","GB595m","0"
"GB595m-1","GB595m","1"
"GB606m-?","GB606m","?"
"GB606m-0","GB606m","0"
"GB606m-1","GB606m","1"
"GB620drmc-1","GB620drmc","1"
"GB620drmc-NA","GB620drmc","NA"
"GB620drmc-?","GB620drmc","?"
"GB620drmc-0","GB620drmc","0"
"GB621drmc-1","GB621drmc","1"
"GB621drmc-NA","GB621drmc","NA"
"GB621drmc-?","GB621drmc","?"
"GB621drmc-0","GB621drmc","0"
"GB622drmc-1","GB622drmc","1"
"GB622drmc-NA","GB622drmc","NA"
"GB622drmc-0","GB622drmc","0"
"GB622drmc-?","GB622drmc","?"
"GB623drmc-1","GB623drmc","1"
"GB623drmc-NA","GB623drmc","NA"
"GB623drmc-?","GB623drmc","?"
"GB623drmc-0","GB623drmc","0"
"GB624drmc-1","GB624drmc","1"
"GB624drmc-NA","GB624drmc","NA"
"GB624drmc-0","GB624drmc","0"
"GB624drmc-?","GB624drmc","?"
"GB625m-1","GB625m","1"
"GB625m-0","GB625m","0"
"GB625m-?","GB625m","?"
"GB701drm-?","GB701drm","?"
"GB701drm-1","GB701drm","1"
"GB701drm-0","GB701drm","0"
"GB702drm-?","GB702drm","?"
"GB702drm-1","GB702drm","1"
"GB702drm-0","GB702drm","0"
"GB703drmc-?","GB703drmc","?"
"GB703drmc-1","GB703drmc","1"
"GB703drmc-NA","GB703drmc","NA"
"GB703drmc-0","GB703drmc","0"
"GB704drm-?","GB704drm","?"
"GB704drm-0","GB704drm","0"
"GB704drm-1","GB704drm","1"
"GB777drm-1","GB777drm","1"
"GB777drm-0","GB777drm","0"
"GB777drm-?","GB777drm","?"
"GB800m-1","GB800m","1"
"GB800m-0","GB800m","0"
"GB800m-?","GB800m","?"
"GB850drm-1","GB850drm","1"
"GB850drm-0","GB850drm","0"
"GB850drm-?","GB850drm","?"
"GB851drm-0","GB851drm","0"
"GB851drm-1","GB851drm","1"
"GB851drm-?","GB851drm","?"
"GB852drm-0","GB852drm","0"
"GB852drm-1","GB852drm","1"
"GB852drm-?","GB852drm","?"
"GB853drm-1","GB853drm","1"
"GB853drm-0","GB853drm","0"
"GB853drm-?","GB853drm","?"
"GB887drmc-NA","GB887drmc","NA"
"GB887drmc-1","GB887drmc","1"
"GB887drmc-?","GB887drmc","?"
"GB887drmc-0","GB887drmc","0"
"GB888drmc-NA","GB888drmc","NA"
"GB888drmc-0","GB888drmc","0"
"GB888drmc-1","GB888drmc","1"
"GB888drmc-?","GB888drmc","?"
"GB945m-1","GB945m","1"
"GB945m-?","GB945m","?"
"GB945m-0","GB945m","0"
"GB947mc-NA","GB947mc","NA"
"GB947mc-?","GB947mc","?"
"GB947mc-1","GB947mc","1"
"GB947mc-0","GB947mc","0"
"GB949m-0","GB949m","0"
"GB949m-?","GB949m","?"
"GB949m-1","GB949m","1"
"GB950m-1","GB950m","1"
"GB950m-?","GB950m","?"
"GB950m-0","GB950m","0"
"GB951drmc-1","GB951drmc","1"
"GB951drmc-0","GB951drmc","0"
"GB951drmc-?","GB951drmc","?"
"GB951drmc-NA","GB951drmc","NA"
