"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"bari1284","Bari","bfa","language","Africa",4.19522,31.0723,"Africa","African Savannah",NA,"nilo1247","east2418","bari1283","nucl1796","bari1284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bash1264","Bashkir","bak","language","Eurasia",53.59671,56.55937,"N-C Asia","Inner Asia",NA,"turk1311","comm1245","kipc1240","kipc1239","nort3424","nort2696","bash1267","bash1264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bata1289","Batak Toba","bbc","language","Papunesia",2.35498,99.1761,"S/SE Asia","Southeast Asia",NA,"aust1307","mala1545","nort2829","toba1265","sout3166","sout2849","bata1289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bats1242","Bats","bbl","language","Eurasia",42.1806,45.344,"W and SW Eurasia","Greater Mesopotamia",NA,"nakh1245","nakh1246","bats1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bert1248","Berta","wti","language","Africa",10.6474,34.7042,"Africa","Greater Abyssinia",NA,"bert1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bing1248","Binga",NA,"dialect","Africa",8.04,23.62,"Africa","African Savannah",NA,"cent2225","sara1341","sbbo1237","yulu1243","bing1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bini1246","Bini","bin","language","Africa",6.40701,5.70426,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","akpe1249","edoi1239","nort3182","cent2259","bini1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bodo1269","Bodo-Mech","brx","language","Eurasia",26.1,92,"S/SE Asia","Southeast Asia",NA,"sino1245","brah1260","bodo1279","boro1284","tiwa1256","bodo1280","bodo1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bond1245","Bondo","bfw","language","Eurasia",19.1512,83.8141,"S/SE Asia","Indic",NA,"aust1305","mund1335","guto1244","bond1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buru1320","Burunge","bds","language","Africa",-5.21369,35.963,"Africa","S Africa",NA,"afro1255","cush1243","sout3054","west2720","buru1320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"byan1241","Byangsi","bee","language","Eurasia",29.92002,80.63653,"S/SE Asia","Indic",NA,"sino1245","bodi1256","tibe1275","east2777","pith1234","darm1241","darm1242","byan1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cebu1242","Cebuano","ceb","language","Papunesia",8.38799,124.367,"S/SE Asia","Oceania",NA,"aust1307","mala1545","grea1284","cent2246","bisa1268","cebu1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cent1973","Central Pashto","pst","language","Eurasia",31.9153,69.4529,"W and SW Eurasia","Greater Mesopotamia",NA,"indo1319","clas1257","indo1320","iran1269","pash1269","nucl1276","cent1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cent2084","Central Cagayan Agta","agt","language","Papunesia",17.9571,121.857,"S/SE Asia","Oceania",NA,"aust1307","mala1545","nort3238","caga1241","iban1268","gadd1245","cent2084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
