"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family","Subfamily","Genus","GenusIcon","ISO_codes","Samples_100","Samples_200","Country_ID","Source","Parent_ID"
"2106","sko","Skou","Papunesia",-2.66666666667,140.916666667,"nucl1634","skv","Skou","","Western Skou","","skv","false","false","ID","Voorhoeve-1971","genus-westernskou"
"2107","skp","Selkup","Eurasia",65,82,"selk1253","sel","Uralic","","Samoyedic","","sel","false","false","RU","Decsy-1970 Helimski-1998b Katz-1975b Kuznecova-et-al-1980 McNaughton-1976 Prokofjeva-1966 Redei-1970","genus-samoyedic"
"2108","skr","Sikaritai","Papunesia",-2.91666666667,138.25,"sika1263","tty","Lakes Plain","","East Tariku","","tty","false","false","ID","Martin-1986 Martin-1991b","genus-easttariku"
"2109","sku","Suku","Africa",-6,17.6666666667,"suku1259","sub","Niger-Congo","Benue-Congo","Bantu","","sub","false","false","AO CD","Bunkheti-1997","genus-bantu"
"2110","skw","Shekhawati","Eurasia",28,75.5,"shek1243","swv","Indo-European","","Indic","","swv","false","false","IN","Gusain-2001","genus-indic"
"2111","sla","Slave","North America",67,-125,"slav1253","den","Na-Dene","","Athapaskan","","den","true","true","CA","Bybee-et-al-1994 Petitot-1876 Rice-1976 Rice-1978 Rice-1989 Rice-2000","genus-athapaskan"
"2112","slb","Saliba (in Papua New Guinea)","Papunesia",-10.5833333333,150.716666667,"sali1295","sbe","Austronesian","Eastern Malayo-Polynesian","Oceanic","","sbe","false","false","PG","Margetts-1999a Margetts-1999b Mosel-1994a","genus-oceanic"
"2113","sle","Samba Leko","Africa",8.5,12.5,"samb1305","ndi","Niger-Congo","Adamawa-Ubangi","Samba-Duru","","ndi","false","false","NG CM","Fabre-2003","genus-sambaduru"
"2114","slg","Sulung","Eurasia",28.3333333333,93.25,"sulu1241","suv","Sino-Tibetan","Tibeto-Burman","Kho-Bwa","","suv","false","false","IN","Tayeng-1990b","genus-khobwa"
"2115","slo","Slovene","Eurasia",46,15,"slov1268","slv","Indo-European","","Slavic","","slv","false","false","SI","Derbyshire-1993 Gvozdanovic-1999 Herrity-2000 Jug-Kranjec-1989 Malherbe-and-Rosenberg-1996 Priestly-1993","genus-slavic"
"2116","slp","Selepet","Papunesia",-6.16666666667,147.166666667,"sele1250","spl","Trans-New Guinea","Finisterre-Huon","Huon","","spl","false","false","PG","McElhanon-1970b McElhanon-1970c McElhanon-1972","genus-huon"
"2117","slr","Salar","Eurasia",35,103,"sala1264","slr","Altaic","","Turkic","","slr","false","false","CN","Dwyer-2000 Tenishev-1997b","genus-turkic"
"2118","slv","Slavey","North America",60,-120,"sout2959","xsl","Na-Dene","","Athapaskan","","xsl","false","false","CA","Gouy-1930","genus-athapaskan"
"2119","sly","Selayar","Papunesia",-6,120.5,"sela1260","sly","Austronesian","","South Sulawesi","","sly","false","false","ID","Mithun-and-Basri-1986","genus-southsulawesi"
"2120","smd","Semandang","Papunesia",-0.75,110.5,"sema1269","sdm","Austronesian","","Land Dayak","","sdm","false","false","ID","","genus-landdayak"
"2121","sme","Seme","Africa",11,-4.91666666667,"siam1242","sif","Siamou","","Siamou","","sif","false","false","BF","Prost-1964d","genus-siamou"
"2122","smj","Semai","Eurasia",4.33333333333,101.666666667,"sema1266","sea","Austro-Asiatic","Mon-Khmer","Aslian","","sea","false","false","MY","Means-and-Means-1987","genus-aslian"
"2123","sml","Semelai","Eurasia",3,103,"seme1247","sza","Austro-Asiatic","Mon-Khmer","Aslian","","sza","false","true","MY","Kruspe-1999 Kruspe-2004","genus-aslian"
"2124","smn","Seminole","North America",33,-84,"cree1270","mus","Muskogean","","Muskogean","","mus","false","false","US","Nathan-1977","genus-muskogean"
"2125","smp","Shompen","Eurasia",7,93.75,"shom1245","sii","Shompen","","Shompen","","sii","false","false","IN","Chattopadhyay-and-Mukhopadhyay-2003","genus-shompen"
"2126","smt","Sahaptin (Umatilla)","North America",45.6666666667,-118.5,"umat1237","uma","Penutian","","Sahaptian","","uma","false","false","US","Jacobs-1931 Rigsby-and-Rude-1996 Rude-1988b","genus-sahaptian"
"2127","sna","Shina","Eurasia",36,74,"shin1264","scl","Indo-European","","Indic","","scl","false","false","PK","Bailey-1924","genus-indic"
"2128","snc","Seneca","North America",42.5,-77.5,"sene1264","see","Iroquoian","","Northern Iroquoian","","see","false","false","US","Chafe-1960 Chafe-1963 Chafe-1967 Chafe-1977 Chafe-1996 Chafe-and-Foster-1981 Dahl-1985 Foster-1982 Holmer-1954 Nichols-1992","genus-northerniroquoian"
"2129","snd","Senadi","Africa",9.5,-6.25,"ceba1235","sef","Niger-Congo","","Senufo","","sef","false","false","CI","Mills-1984 Welmers-1950","genus-senufo"
"2130","sng","Sinaugoro","Papunesia",-9.83333333333,147.833333333,"sina1266","snc","Austronesian","Eastern Malayo-Polynesian","Oceanic","","snc","false","false","PG","Kolia-1975 Tauberschmidt-1999 Tauberschmidt-and-Bala-1992","genus-oceanic"
"2131","snh","Sinhala","Eurasia",7,80.5,"sinh1246","sin","Indo-European","","Indic","","sin","false","false","LK","Coates-and-da-Silva-1960 Gair-1970 Gair-1998 Gair-and-Karunatillake-2000 Gair-and-Paolillo-1997 Geiger-1938 Malherbe-and-Rosenberg-1996 Matzel-1966 Reynolds-1980 Reynolds-1995","genus-indic"
"2132","snm","Sanuma","South America",4.5,-64.6666666667,"sanu1240","xsu","Yanomam","","Yanomam","","xsu","true","true","BR VR","Aikhenvald-and-Dixon-1999 Borgman-1990 Derbyshire-and-Payne-1990","genus-yanomam"
"2133","snn","Soninke","Africa",15,-10.5,"soni1259","snk","Mande","","Western Mande","","snk","false","false","BF ML CI SN","Diagana-1995 Malherbe-and-Rosenberg-1996","genus-westernmande"
"2134","sno","Saami (Northern)","Eurasia",69,24,"nort2671","sme","Uralic","Finno-Ugric","Saami","","sme","false","false","NO FI SE","Bartens-1989 Bergsland-1976 Honti-1997 Itkonen-1955 Itkonen-1969 Malherbe-and-Rosenberg-1996 Nickel-1994 Sammallahti-1998a Sammallahti-1998b","genus-saami"
