"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"yala1266","Yalahatan-Haruru-Awaiya","jal","language","Papunesia",-3.3619,129.315,"NG and Oceania","Oceania",NA,"aust1307","mala1545","nunu1252","thre1238","amal1243","yala1266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yale1246","Yale","nce","language","Papunesia",-3.79762,141.566,"NG and Oceania","N Coast New Guinea",NA,"yale1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yama1264","Yámana","yag","language","South America",-55.2748,-68.2648,"S America","SE South America",NA,"yama1264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yami1254","Yami","tao","language","Papunesia",22.055,121.544,"S/SE Asia","Southeast Asia",NA,"aust1307","mala1545","bata1315","yami1257","yami1254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yami1256","Yaminahua","yaa","language","South America",-9.8846,-71.5964,"S America","NE South America",NA,"pano1259","pano1256","main1279","pano1257","head1239","yami1255","yami1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yamp1242","Yamphu","ybi","language","Eurasia",27.6322,87.0441,"S/SE Asia","Indic",NA,"sino1245","hima1249","maha1306","kira1253","east2719","uppe1412","loho1238","yamp1244","yamp1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yana1271","Yana","ynn","language","North America",39.2769,-121.608,"W N America","California",NA,"yana1271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yand1253","Yandruwandha","ynd","language","Australia",-28.4744,140.583,"Australia","S Australia",NA,"pama1250","karn1253","cent2016","west2438","yand1252","yand1253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yane1238","Yanesha'","ame","language","South America",-10.5454,-75.315,"S America","Andean",NA,"araw1281","sout3131","kamp1244","yane1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yank1247","Yankunytjatjara","kdd","language","Australia",-26.4064,133.577,"Australia","S Australia",NA,"pama1250","dese1234","wati1241","pint1254","nucl1724","wang1300","tjar1234","yank1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yano1261","Yanomamö","guu","language","South America",1.67967,-64.8781,"S America","NE South America",NA,"yano1268","nina1239","yano1266","yano1267","yano1261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yano1262","Yanomám","wca","language","South America",2.48999,-62.8522,"S America","NE South America",NA,"yano1268","nina1239","yano1266","yano1267","yano1262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yany1243","Yanyuwa","jao","language","Australia",-15.7621,136.055,"Australia","N Australia",NA,"pama1250","ngar1290","yany1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaoo1241","Yao","yao","language","Africa",-13.6119,35.2387,"Africa","S Africa",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","narr1281","east2731","rufi1235","ruvu1234","yaoi1234","yaoo1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaou1238","Yaouré","yre","language","Africa",6.95282,-5.57851,"Africa","African Savannah",NA,"mand1469","east2697","sout3140","guro1245","guro1246","guro1247","yaou1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yape1248","Yapese","yap","language","Papunesia",9.55811,138.125,"NG and Oceania","Oceania",NA,"aust1307","mala1545","east2712","ocea1241","yape1250","yape1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yapu1240","Yeri","yev","language","Papunesia",-3.47256,142.436,"NG and Oceania","N Coast New Guinea",NA,"nucl1708","wape1249","west2788","agiy1234","yapu1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaqu1251","Yaqui","yaq","language","North America",29.9446,-110.681,"C America","Mesoamerica",NA,"utoa1244","sout3136","cahi1243","yaqu1251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yare1248","Yareba","yrb","language","Papunesia",-9.50651,148.605,"NG and Oceania","S New Guinea",NA,"yare1250","yare1251","yare1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yasa1242","Yasa","yko","language","Africa",2.06043,10.678,"Africa","S Africa",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","narr1281","bant1295","sawa1251","beng1289","yasa1241","yasa1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yatz1235","Yatzachi Zapotec","zav","language","North America",17.1869,-96.284,"C America","Mesoamerica",NA,"otom1299","east2557","popo1292","zapo1436","zapo1437","nucl1765","core1259","nort2987","cajo1239","yatz1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaul1241","Ulwa (Papua New Guinea)","yla","language","Papunesia",-4.39912,143.993,"NG and Oceania","N Coast New Guinea",NA,"kera1258","mong1343","yaul1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yavi1244","Yavitero-Pareni","yvt","language","South America",2.924844,-67.438886,"S America","NE South America",NA,"araw1281","alto1249","pare1275","yavi1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yawa1260","Yawanawa","ywn","language","South America",-8.87563,-71.8199,"S America","NE South America",NA,"pano1259","pano1256","main1279","pano1257","head1239","yami1255","yawa1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yawa1261","Yawalapití","yaw","language","South America",-12.5104,-53.4236,"S America","NE South America",NA,"araw1281","cent2413","cent2226","xing1249","yawa1261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yawi1239","Yawijibaya","jbw","dialect","Australia",-15.348087,124.529665,"Australia","N Australia",NA,"worr1236","west2435","worr1237","yawi1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
