"code_ID","new.name","value"
"GB888drmcC-N/A","GB888drmcC","N/A"
"GB888drmcC-0","GB888drmcC","0"
"GB888drmcC-1","GB888drmcC","1"
"GB888drmcC-?","GB888drmcC","?"
"GB900EO-?","GB900EO","?"
"GB900EO-marker of standard with elsewhere locational meaning","GB900EO","marker of standard with elsewhere locational meaning"
"GB900EO-neither","GB900EO","neither"
"GB900EO-conjoined clauses","GB900EO","conjoined clauses"
"GB945m-1","GB945m","1"
"GB945m-?","GB945m","?"
"GB945m-0","GB945m","0"
"GB947mc-N/A","GB947mc","N/A"
"GB947mc-?","GB947mc","?"
"GB947mc-1","GB947mc","1"
"GB947mc-0","GB947mc","0"
"GB949m-0","GB949m","0"
"GB949m-?","GB949m","?"
"GB949m-1","GB949m","1"
"GB950m-1","GB950m","1"
"GB950m-?","GB950m","?"
"GB950m-0","GB950m","0"
"GB951drmcC-1","GB951drmcC","1"
"GB951drmcC-N/A","GB951drmcC","N/A"
"GB951drmcC-?","GB951drmcC","?"
"GB951drmcC-0","GB951drmcC","0"
"GB952drmcC-0","GB952drmcC","0"
"GB952drmcC-N/A","GB952drmcC","N/A"
"GB952drmcC-?","GB952drmcC","?"
"GB952drmcC-1","GB952drmcC","1"
"GB953drmcC-N/A","GB953drmcC","N/A"
"GB953drmcC-?","GB953drmcC","?"
"GB953drmcC-0","GB953drmcC","0"
"GB953drmcC-1","GB953drmcC","1"
"GB954drmcC-0","GB954drmcC","0"
"GB954drmcC-?","GB954drmcC","?"
"GB954drmcC-1","GB954drmcC","1"
"GB954drmcC-N/A","GB954drmcC","N/A"
"GB955drmc-1","GB955drmc","1"
"GB955drmc-0","GB955drmc","0"
"GB955drmc-?","GB955drmc","?"
"GB955drmc-N/A","GB955drmc","N/A"
"GB990drmcC-0","GB990drmcC","0"
"GB990drmcC-N/A","GB990drmcC","N/A"
"GB990drmcC-?","GB990drmcC","?"
"GB990drmcC-1","GB990drmcC","1"
"GB991drmcC-1","GB991drmcC","1"
"GB991drmcC-N/A","GB991drmcC","N/A"
"GB991drmcC-?","GB991drmcC","?"
"GB991drmcC-0","GB991drmcC","0"
"GB995F-adj-noun and noun-dem","GB995F","adj-noun and noun-dem"
"GB995F-noun-adj and noun-dem","GB995F","noun-adj and noun-dem"
"GB995F-?","GB995F","?"
"GB995F-adj-noun and dem-noun","GB995F","adj-noun and dem-noun"
"GB995F-noun-adj and dem-noun","GB995F","noun-adj and dem-noun"
