"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0891","TLI0892","TLI0893","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112","TLI1115","TLI1116"
"791","dibi1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N","N"
"794","didi1258","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?"
"795","dido1241","False","False","False","False","False","False","False","False","False","?","False","?","False","False","True","False","False","FALSE","FALSE","FALSE","FALSE","?",NA,"M"
"796","dier1241","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"FALSE","?","?","FALSE","?",NA,NA
"801","dima1251","True","False","False","?","False","False","False","True","False","False","?","?","False","?","True","False","?","FALSE","FALSE","?","FALSE","Neither",NA,"N"
"802","dima1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N",NA
"804","dime1235","False","False","?","?","?","False","?","?","False","?","False","?","False","?","?","?","False","?","FALSE","FALSE","FALSE","?",NA,NA
"805","dimi1244","False","False","False","False","?","False","?","?","?","?","?","?","?","False","True","False","?","?","?","?","FALSE","?",NA,"N"
"810","diri1252","?","?","False","False","False","?","?","False","False","False","True","?","?","False","?","?","False","?","?","?","?","Neither",NA,NA
"811","diri1259","False","False","?","?","?","True","?","False","False","False","False","False","?","?","True","False","?","?","?","?","FALSE","Neither","?","?"
"819","djam1256","?","False","False","?","?","False","False","?","False","?","?","?","?","?","True","False",NA,"?","?","?","FALSE","?",NA,"N"
"821","djap1238","?","False","False","?","?","False","False","?","False","?","?","?","?","?","False","False",NA,"FALSE","FALSE","?","FALSE","?",NA,"N"
"826","djin1251","False","False","?","?","False","False","?","False","False","False","?","?","?","?","?","?",NA,"FALSE","TRUE","?","?","Neither",NA,"N"
"828","djin1253","?","False","False","?","False","False","True","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?",NA,NA
"829","djiw1241","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?",NA,"N"
"841","dong1286","True","False","False","False","True","False","False","?","False","?","False","?","False","?","False","False","?","FALSE","FALSE","FALSE","FALSE","?",NA,"N"
"842","dong1287","?","?","?","False","True","False","False","?","False","?","False","True","?","True","True","True","?","?","FALSE","TRUE","FALSE","?",NA,NA
"850","drun1238","?","False","?","False","False","?","False","True","False","False","False","False","?","False","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither",NA,"N"
"856","dump1243","False","False","True","?","?","False","?","?","?","?","?","?","?","?","False","False","?","?","?","?","FALSE","?",NA,"N"
"857","duna1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N",NA
"862","dutc1256","False","False","False","?","?","?","False","False","?","False","?","?","False","?","?","?","False","FALSE","FALSE","?","?","Neither",NA,NA
"866","dyaa1242","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"FALSE","TRUE","?","FALSE","?",NA,"N"
"874","dzao1238","?","?","?","False","True","False","False","?","False","?","False","False","?","True","True","False","?","?","FALSE","TRUE","FALSE","?",NA,"M"
"877","east1472","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","?","?","?","?","?"
"882","east2326","?","False","False","?","True","False","False","?","?","?","False","?","?","?","True","True","?","?","FALSE","FALSE","FALSE","Neither",NA,"M"
"883","east2328","False","False","False","False","False","False","True","False","False","False","False","?","False","False","False","False","False","TRUE","FALSE","FALSE","FALSE","Neither","M","T"
